Sample;SPECIES;MLST-type;previously_failed;Total length;# contigs (>= 0 bp);# contigs (>= 1000 bp);# contigs (>= 5000 bp);# contigs (>= 10000 bp);# contigs (>= 25000 bp);# contigs (>= 50000 bp);Total length (>= 0 bp);Total length (>= 1000 bp);Total length (>= 5000 bp);Total length (>= 10000 bp);Total length (>= 25000 bp);Total length (>= 50000 bp);# contigs;Largest contig;GC (%);N50;N75;L50;L75;# N's per 100 kbp
KLP-JSC-RGN-105470;kpneumoniae;307.0;FALSE;5549907;55;50;38;37;33;25;5549907;5546539;5514549;5508760;5437411;5131852;55;837935;5726;364895;122550;6;14;10
ECO-JSC-RGN-103737;ecoli;131.0;FALSE;5603695;217;159;95;76;45;32;5603695;5562871;5408432;5277297;4797573;4363509;217;342561;5047;129553;58872;13;29;12169
KLP-JSC-RGN-105171;kpneumoniae;437.0;FALSE;5634002;87;79;51;47;40;33;5634002;5629231;5567019;5539834;5415403;5158683;87;302212;5689;170193;117609;13;23;916
KLP-JSC-RGN-105460;kpneumoniae;513.0;FALSE;5637263;100;87;69;56;41;32;5637263;5628956;5580068;5481441;5235942;4892243;100;750499;5706;159060;86639;11;23;915
KLP-JSC-RGN-105191;kpneumoniae;48.0;FALSE;5645696;89;74;59;53;42;31;5645696;5635966;5596724;5550878;5335332;4952486;89;705000;5716;189415;88982;9;21;942
KLP-JSC-RGN-105193;kpneumoniae;48.0;FALSE;5647406;72;63;50;44;37;27;5647406;5641342;5608098;5560595;5441044;5079142;72;856198;5715;225173;123325;8;16;825
KLP-JSC-RGN-105189;kpneumoniae;48.0;FALSE;5649519;69;61;50;45;39;27;5649519;5644026;5619829;5581085;5470019;4996870;69;514341;5715;216926;119933;9;17;1018
KLP-JSC-RGN-105188;kpneumoniae;405.0;FALSE;5661436;57;52;41;39;34;29;5661436;5657961;5631053;5616001;5533739;5348742;57;551064;5708;211726;140288;9;18;362
KLP-JSC-RGN-105175;kpneumoniae;405.0;FALSE;5668452;58;53;40;38;34;26;5668452;5664899;5636181;5623688;5550753;5265327;58;527372;5708;261671;140799;8;16;52
KLP-JSC-RGN-105173;kpneumoniae;405.0;FALSE;5693262;64;60;45;41;33;24;5693262;5690116;5651635;5622023;5463185;5133191;64;527622;5704;245345;150087;8;15;274
KLP-JSC-RGN-105174;kpneumoniae;405.0;FALSE;5695651;61;57;42;38;33;28;5695651;5692660;5652274;5623128;5524409;5342251;61;527439;5704;232142;140799;9;16;32
KLP-JSC-RGN-105176;kpneumoniae;405.0;FALSE;5696508;62;55;41;37;33;24;5696508;5691848;5655848;5626702;5552353;5200460;62;547778;5704;245299;141304;8;15;276
KLP-JSC-RGN-105177;kpneumoniae;405.0;FALSE;5704149;68;62;46;42;36;29;5704149;5700130;5659274;5631644;5518444;5256920;68;527531;5705;212990;132299;10;18;47
KLP-JSC-RGN-105461;kpneumoniae;360.0;FALSE;5705345;71;61;51;49;41;34;5705345;5698393;5675489;5662438;5505067;5222075;71;337612;5722;163172;107837;12;23;875
KLP-JSC-RGN-105466;kpneumoniae;405.0;FALSE;5723253;59;56;43;40;37;28;5723253;5721315;5691134;5669824;5614587;5322491;59;560887;5699;237451;118580;9;17;315
KLP-JSC-RGN-105463;kpneumoniae;405.0;FALSE;5723730;63;56;43;41;37;27;5723730;5719137;5691895;5676197;5602424;5230132;63;577778;5699;214719;110273;8;16;405
KLP-JSC-RGN-105464;kpneumoniae;405.0;FALSE;5726543;59;53;41;38;34;27;5726543;5722782;5699435;5678124;5605456;5359767;59;810483;57;253664;140978;7;15;802
KLP-JSC-RGN-105465;kpneumoniae;405.0;FALSE;5762290;71;63;52;48;44;35;5762290;5756937;5730183;5699971;5632070;5316541;71;315131;5693;200868;95280;12;22;758
KLP-JSC-RGN-105459;kpneumoniae;360.0;FALSE;5804359;80;67;53;48;38;30;5804359;5795537;5763038;5730734;5553887;5282795;80;442922;5713;220312;116693;10;19;538
KLP-JSC-RGN-105166;kpneumoniae;45.0;FALSE;5807920;129;105;68;60;50;36;5807920;5792276;5710764;5655302;5476850;4971885;129;357690;5708;145690;82218;14;27;463
ECO-JSC-RGN-105440;kpneumoniae;45.0;FALSE;5815479;129;102;65;58;50;38;5815479;5797963;5727268;5676941;5524359;5069355;129;358019;5708;152113;82003;14;28;1185
KLP-JSC-RGN-105197;kpneumoniae;405.0;FALSE;5854060;66;58;46;42;36;29;5854060;5848628;5821374;5795483;5677013;5415465;66;486766;5662;228952;127618;10;18;43
KLP-JSC-RGN-105196;kpneumoniae;405.0;FALSE;5858757;66;55;41;39;35;25;5858757;5851025;5819069;5806811;5733551;5337332;66;872789;5661;293893;148156;7;14;345
KLP-JSC-RGN-105467;kpneumoniae;-;FALSE;6063519;161;132;91;69;49;36;6063519;6042949;5940436;5782956;5424415;4937346;161;366790;5703;127359;73948;16;31;1644
PSA-JSC-RGN-105473;paeruginosa;-;FALSE;7126509;220;207;172;149;94;47;7126509;7117567;7031153;6857146;5953673;4206631;220;212300;6563;58104;35155;36;74;2228
ECO-MSA-BAC-105504;to be assembled;;;;;;;;;;;;;;;;;;;;;;;
