snp-dists 0.8.2	ECO-JSC-RGN-103794	ECO-JSC-RGN-103882	ECO-JSC-RGN-105232	ECO-JSC-RGN-103752	ECO-JSC-RGN-103760	ECO-JSC-RGN-103820	ECO-JSC-RGN-104568	ECO-JSC-RGN-103862	ECO-JSC-RGN-104210	ECO-JSC-RGN-103864	ECO-JSC-RGN-104196	ECO-JSC-RGN-105455	ECO-JSC-RGN-103802	ECO-JSC-RGN-103881	ECO-JSC-RGN-103895	ECO-JSC-RGN-104211	ECO-JSC-RGN-103890	ECO-JSC-RGN-104212	ECO-JSC-RGN-104552	ECO-JSC-RGN-104536	ECO-JSC-RGN-103681	ECO-JSC-RGN-104555	ECO-JSC-RGN-103856	ECO-JSC-RGN-103896	ECO-JSC-RGN-104562	ECO-JSC-RGN-103695	ECO-JSC-RGN-105446	ECO-JSC-RGN-103701	ECO-JSC-RGN-105235	ECO-JSC-RGN-103892	ECO-JSC-RGN-105243	ECO-JSC-RGN-104243	ECO-JSC-RGN-103871	ECO-JSC-RGN-103770	ECO-JSC-RGN-103777	ECO-JSC-RGN-104565	ECO-JSC-RGN-103797	ECO-JSC-MOD-104873	ECO-JSC-RGN-104546	ECO-JSC-RGN-105251	KLP-JSC-MOD-104895	ECO-JSC-RGN-103678	ECO-JSC-RGN-105250	ECO-JSC-RGN-104232	ECO-JSC-RGN-103721	ECO-JSC-RGN-104542	ECO-JSC-RGN-104205	ECO-JSC-RGN-105230	ECO-JSC-RGN-103679	ECO-JSC-RGN-103684	ECO-JSC-RGN-105248	ECO-JSC-RGN-105245	ECO-JSC-RGN-103778	ECO-JSC-RGN-105238	ECO-JSC-RGN-103761	ECO-JSC-RGN-103833	ECO-JSC-MOD-104868	ECO-JSC-RGN-103710	ECO-JSC-RGN-103801	ECO-JSC-RGN-103771	ECO-JSC-RGN-103754	ECO-JSC-RGN-103687	ECO-JSC-RGN-105447	ECO-JSC-RGN-103785	ECO-JSC-RGN-103870	ECO-JSC-RGN-103817	ECO-JSC-RGN-103834	ECO-JSC-RGN-103805	ECO-JSC-RGN-103747	ECO-JSC-RGN-104229	ECO-JSC-RGN-103705	ECO-JSC-MOD-104872	ECO-JSC-MOD-104875	ECO-JSC-RGN-105252	ECO-JSC-RGN-103746	ECO-JSC-RGN-103737	ECO-JSC-RGN-103720	ECO-JSC-RGN-103675	ECO-JSC-RGN-105249	ECO-JSC-RGN-104544	ECO-JSC-RGN-103789	ECO-JSC-RGN-103689	ECO-JSC-RGN-103758	ECO-JSC-RGN-103693	ECO-JSC-RGN-103793	ECO-JSC-RGN-104540	ECO-JSC-RGN-104224	ECO-JSC-RGN-103688	ECO-JSC-RGN-103781	ECO-JSC-RGN-103709	ECO-JSC-RGN-104553	ECO-JSC-RGN-103779	ECO-JSC-RGN-103889	ECO-JSC-RGN-105452	ECO-JSC-RGN-103841	ECO-JSC-RGN-103796	ECO-JSC-RGN-104549	ECO-JSC-RGN-103791
ECO-JSC-RGN-103684	1086	7	1081	1086	1084	1081	1084	1081	1082	1081	1086	1081	1089	1090	1087	1081	1087	1085	1086	1081	8	1085	1082	1081	1082	1084	1081	1084	1081	1083	1085	1081	1081	1083	1081	1084	1081	1083	1080	1085	1083	1081	1085	1083	1085	1085	1081	1084	1084	0	1085	1085	1084	1080	9	1086	1082	10	1083	1081	1081	1082	1084	11	1081	1082	1086	1086	1092	13	1080	1078	1081	1086	1081	1082	1081	1083	1084	1085	1084	1080	1080	1083	1083	1087	1083	1082	1083	1084	1085	1081	1082	1084	1083	1083	1084	1084
ECO-JSC-RGN-105248	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	1	6	1083	0	7	6	7	9	6	9	6	8	0	6	6	8	6	9	6	8	5	10	8	6	0	8	10	10	6	9	9	1085	0	0	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	1	10	9	5	5	8	8	12	8	7	8	9	0	6	7	9	8	8	9	9
ECO-JSC-RGN-105245	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	1	6	1083	0	7	6	7	9	6	9	6	8	0	6	6	8	6	9	6	8	5	10	8	6	0	8	10	10	6	9	9	1085	0	0	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	1	10	9	5	5	8	8	12	8	7	8	9	0	6	7	9	8	8	9	9
ECO-JSC-RGN-103778	10	1081	5	6	6	5	8	5	6	5	10	5	9	10	7	5	11	9	10	5	1082	9	6	5	6	4	5	4	5	7	9	5	5	3	5	6	5	7	4	9	7	5	9	3	9	9	5	6	4	1084	9	9	0	4	1081	28	6	1082	7	5	5	6	4	1085	5	6	28	11	382	1085	4	38	5	10	5	4	5	3	8	9	8	4	4	3	7	11	3	6	7	8	9	5	2	8	7	7	4	8
ECO-JSC-RGN-105238	6	1077	1	6	4	1	4	1	2	1	6	1	9	10	7	1	7	5	6	1	1078	5	2	1	2	4	1	4	1	3	5	1	1	3	1	4	1	3	0	5	3	1	5	3	5	5	1	4	4	1080	5	5	4	0	1077	24	2	1078	3	1	1	2	4	1081	1	2	24	7	378	1081	0	34	1	6	1	2	1	3	4	5	4	0	0	3	3	7	3	2	3	4	5	1	2	4	3	3	4	4
ECO-JSC-RGN-103761	1083	6	1078	1083	1081	1078	1081	1078	1079	1078	1083	1078	1086	1087	1084	1078	1084	1082	1083	1078	7	1082	1079	1078	1079	1081	1078	1081	1078	1080	1082	1078	1078	1080	1078	1081	1078	1080	1077	1082	1080	1078	1082	1080	1082	1082	1078	1081	1081	9	1082	1082	1081	1077	0	1083	1079	7	1080	1078	1078	1079	1081	10	1078	1079	1083	1083	1089	6	1077	1075	1078	1083	1078	1079	1078	1080	1081	1082	1081	1077	1077	1080	1080	1084	1080	1079	1080	1081	1082	1078	1079	1081	1080	1080	1081	1081
ECO-JSC-RGN-103833	30	1083	25	30	28	25	28	25	26	25	30	25	33	34	31	25	31	29	30	25	1084	29	26	25	26	28	25	28	25	27	29	25	25	27	25	28	25	27	24	29	27	25	29	27	29	29	25	28	28	1086	29	29	28	24	1083	0	26	1084	27	25	25	26	28	1087	25	26	0	31	384	1087	24	40	25	30	25	26	25	27	28	29	28	24	24	27	27	31	27	26	27	28	29	25	26	28	27	27	28	28
ECO-JSC-MOD-104868	8	1079	3	8	6	3	6	3	4	3	8	3	11	12	9	3	9	7	8	3	1080	7	4	3	4	6	3	6	3	5	7	3	3	5	3	6	3	5	2	7	5	3	7	5	7	7	3	6	6	1082	7	7	6	2	1079	26	0	1080	5	3	3	4	6	1083	3	4	26	9	380	1083	2	36	3	8	3	4	3	5	6	7	6	2	2	5	5	9	5	4	5	6	7	3	4	6	5	5	6	6
ECO-JSC-RGN-103710	1084	7	1079	1084	1082	1079	1082	1079	1080	1079	1084	1079	1087	1088	1085	1079	1085	1083	1084	1079	8	1083	1080	1079	1080	1082	1079	1082	1079	1081	1083	1079	1079	1081	1079	1082	1079	1081	1078	1083	1081	1079	1083	1081	1083	1083	1079	1082	1082	10	1083	1083	1082	1078	7	1084	1080	0	1081	1079	1079	1080	1082	11	1079	1080	1084	1084	1090	11	1078	1076	1079	1084	1079	1080	1079	1081	1082	1083	1082	1078	1078	1081	1081	1085	1081	1080	1081	1082	1083	1079	1080	1082	1081	1081	1082	1082
ECO-JSC-RGN-103801	9	1080	4	9	7	4	7	4	5	4	9	4	12	13	10	4	10	8	9	4	1081	8	5	4	5	7	4	7	4	6	8	4	4	6	4	7	4	6	3	8	6	4	8	6	8	8	4	7	7	1083	8	8	7	3	1080	27	5	1081	0	4	4	5	7	1084	4	5	27	10	381	1084	3	37	4	9	4	5	4	6	7	8	7	3	3	6	6	10	6	5	6	7	8	4	5	7	6	6	7	7
ECO-JSC-RGN-103771	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	0	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103754	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	0	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103687	8	1079	3	8	6	3	6	3	4	3	8	3	11	12	9	3	9	7	8	1	1080	7	4	3	4	6	3	6	1	5	7	3	3	5	3	6	3	5	2	7	3	1	7	5	7	7	3	6	6	1082	7	7	6	2	1079	26	4	1080	5	3	3	0	6	1083	3	4	26	9	380	1083	2	36	3	8	3	4	3	5	6	7	6	2	2	5	5	9	5	0	5	6	7	3	4	6	5	3	6	6
ECO-JSC-RGN-105447	10	1081	5	6	6	5	8	5	6	5	10	5	9	10	7	5	11	9	10	5	1082	9	6	5	6	4	5	4	5	7	9	5	5	3	5	6	5	7	4	9	7	5	9	3	9	9	5	6	4	1084	9	9	4	4	1081	28	6	1082	7	5	5	6	0	1085	5	6	28	11	382	1085	4	38	5	10	5	4	5	3	8	9	8	4	4	3	7	11	3	6	7	8	9	5	2	8	7	7	0	8
ECO-JSC-RGN-103785	1087	8	1082	1087	1085	1082	1085	1082	1083	1082	1087	1082	1090	1091	1088	1082	1088	1086	1087	1082	9	1086	1083	1082	1083	1085	1082	1085	1082	1084	1086	1082	1082	1084	1082	1085	1082	1084	1081	1086	1084	1082	1086	1084	1086	1086	1082	1085	1085	11	1086	1086	1085	1081	10	1087	1083	11	1084	1082	1082	1083	1085	0	1082	1083	1087	1087	1093	14	1081	1079	1082	1087	1082	1083	1082	1084	1085	1086	1085	1081	1081	1084	1084	1088	1084	1083	1084	1085	1086	1082	1083	1085	1084	1084	1085	1085
ECO-JSC-RGN-103870	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	0	3	5	2	5	2	4	6	2	0	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	0	3	25	8	379	1082	1	35	0	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103817	8	1079	3	8	6	3	6	3	4	3	8	3	11	12	9	3	9	7	8	3	1080	7	4	3	4	6	3	6	3	5	7	3	3	5	3	6	3	5	2	7	5	3	7	5	7	7	3	6	6	1082	7	7	6	2	1079	26	4	1080	5	3	3	4	6	1083	3	0	26	9	380	1083	2	36	3	8	3	4	3	5	6	7	6	2	2	5	5	9	5	4	5	6	7	3	4	6	5	5	6	6
ECO-JSC-RGN-103834	30	1083	25	30	28	25	28	25	26	25	30	25	33	34	31	25	31	29	30	25	1084	29	26	25	26	28	25	28	25	27	29	25	25	27	25	28	25	27	24	29	27	25	29	27	29	29	25	28	28	1086	29	29	28	24	1083	0	26	1084	27	25	25	26	28	1087	25	26	0	31	384	1087	24	40	25	30	25	26	25	27	28	29	28	24	24	27	27	31	27	26	27	28	29	25	26	28	27	27	28	28
ECO-JSC-RGN-103805	13	1083	8	13	11	8	11	8	9	8	13	8	16	17	14	8	14	12	13	8	1084	12	9	8	9	11	8	11	8	10	12	8	8	10	8	11	8	10	7	12	10	8	12	10	12	12	8	11	11	1086	12	12	11	7	1083	31	9	1084	10	8	8	9	11	1087	8	9	31	0	384	1087	7	41	8	13	8	9	8	10	11	12	11	7	7	10	10	14	10	9	8	11	12	8	9	11	10	10	11	9
ECO-JSC-RGN-103747	384	1089	379	384	382	379	382	379	380	379	384	379	387	388	385	379	385	383	384	379	1090	383	380	379	380	382	379	382	379	381	383	379	379	381	379	382	379	381	378	383	381	379	383	381	383	383	379	382	382	1092	383	383	382	378	1089	384	380	1090	381	379	379	380	382	1093	379	380	384	384	0	1093	378	388	379	384	379	380	379	381	382	383	382	378	378	381	381	385	381	380	381	382	383	379	380	382	381	381	382	382
ECO-JSC-RGN-104229	1087	10	1082	1087	1085	1082	1085	1082	1083	1082	1087	1082	1090	1091	1088	1082	1088	1086	1087	1082	11	1086	1083	1082	1083	1085	1082	1085	1082	1084	1086	1082	1082	1084	1082	1085	1082	1084	1081	1086	1084	1082	1086	1084	1086	1086	1082	1085	1085	13	1086	1086	1085	1081	6	1087	1083	11	1084	1082	1082	1083	1085	14	1082	1083	1087	1087	1093	0	1081	1079	1082	1087	1082	1083	1082	1084	1085	1086	1085	1081	1081	1084	1084	1088	1084	1083	1084	1085	1086	1082	1083	1085	1084	1084	1085	1085
ECO-JSC-RGN-103705	6	1077	1	6	4	1	4	1	2	1	6	1	9	10	7	1	7	5	6	1	1078	5	2	1	2	4	1	4	1	3	5	1	1	3	1	4	1	3	0	5	3	1	5	3	5	5	1	4	4	1080	5	5	4	0	1077	24	2	1078	3	1	1	2	4	1081	1	2	24	7	378	1081	0	34	1	6	1	2	1	3	4	5	4	0	0	3	3	7	3	2	3	4	5	1	2	4	3	3	4	4
ECO-JSC-MOD-104872	40	1075	35	40	38	35	38	35	36	35	40	35	43	44	41	35	41	39	40	35	1076	39	36	35	36	38	35	38	35	37	39	35	35	37	35	38	35	37	34	39	37	35	39	37	39	39	35	38	38	1078	39	39	38	34	1075	40	36	1076	37	35	35	36	38	1079	35	36	40	41	388	1079	34	0	35	40	35	36	35	37	38	39	38	34	34	37	37	41	37	36	37	38	39	35	36	38	37	37	38	38
ECO-JSC-MOD-104875	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	0	3	5	2	5	2	4	6	2	0	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	0	3	25	8	379	1082	1	35	0	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-105252	12	1083	7	12	10	7	10	7	8	7	12	7	15	16	13	7	13	11	12	7	1084	11	8	7	8	10	7	10	7	9	11	7	7	9	7	10	7	9	6	11	9	7	11	9	11	11	7	10	10	1086	11	11	10	6	1083	30	8	1084	9	7	7	8	10	1087	7	8	30	13	384	1087	6	40	7	0	7	8	7	9	10	11	10	6	6	9	9	1	9	8	9	10	11	7	8	10	9	9	10	10
ECO-JSC-RGN-103746	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	0	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103737	8	1079	3	6	4	3	6	3	4	3	8	3	9	8	7	3	9	7	8	3	1080	7	4	3	4	4	3	4	3	5	7	3	3	3	3	4	3	5	2	7	5	3	7	3	7	7	3	4	4	1082	7	7	4	2	1079	26	4	1080	5	3	3	4	4	1083	3	4	26	9	380	1083	2	36	3	8	3	0	3	3	6	7	6	2	2	3	5	9	3	4	5	6	7	3	2	6	5	5	4	6
ECO-JSC-RGN-103720	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	0	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103675	9	1080	4	5	5	4	7	4	5	4	9	4	8	9	6	4	10	8	9	4	1081	8	5	4	5	3	4	3	4	6	8	4	4	2	4	5	4	6	3	8	6	4	8	2	8	8	4	5	3	1083	8	8	3	3	1080	27	5	1081	6	4	4	5	3	1084	4	5	27	10	381	1084	3	37	4	9	4	3	4	0	7	8	7	3	3	2	6	10	0	5	6	7	8	4	1	7	6	6	3	7
ECO-JSC-RGN-105249	10	1081	5	10	8	5	8	5	6	5	10	5	13	14	11	5	11	9	2	5	1082	1	6	5	6	8	5	8	5	7	1	5	5	7	5	8	5	7	4	9	7	5	1	7	9	9	5	8	8	1084	1	1	8	4	1081	28	6	1082	7	5	5	6	8	1085	5	6	28	11	382	1085	4	38	5	10	5	6	5	7	0	9	8	4	4	7	7	11	7	6	7	8	1	5	6	8	7	7	8	8
ECO-JSC-RGN-104544	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	11	6	1083	10	7	6	7	9	6	9	6	8	10	6	6	8	6	9	6	8	5	2	8	6	10	8	10	0	6	9	9	1085	10	10	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	9	0	9	5	5	8	8	12	8	7	8	9	10	6	7	9	8	8	9	9
ECO-JSC-RGN-103789	10	1081	5	10	8	5	8	5	6	5	10	5	13	14	11	5	11	9	10	5	1082	9	6	5	6	8	5	8	5	7	9	5	5	7	5	8	5	7	4	9	7	5	9	7	9	9	5	8	8	1084	9	9	8	4	1081	28	6	1082	7	5	5	6	8	1085	5	6	28	11	382	1085	4	38	5	10	5	6	5	7	8	9	0	4	4	7	7	11	7	6	7	8	9	5	6	8	7	7	8	8
ECO-JSC-RGN-103689	6	1077	1	6	4	1	4	1	2	1	6	1	9	10	7	1	7	5	6	1	1078	5	2	1	2	4	1	4	1	3	5	1	1	3	1	4	1	3	0	5	3	1	5	3	5	5	1	4	4	1080	5	5	4	0	1077	24	2	1078	3	1	1	2	4	1081	1	2	24	7	378	1081	0	34	1	6	1	2	1	3	4	5	4	0	0	3	3	7	3	2	3	4	5	1	2	4	3	3	4	4
ECO-JSC-RGN-103758	6	1077	1	6	4	1	4	1	2	1	6	1	9	10	7	1	7	5	6	1	1078	5	2	1	2	4	1	4	1	3	5	1	1	3	1	4	1	3	0	5	3	1	5	3	5	5	1	4	4	1080	5	5	4	0	1077	24	2	1078	3	1	1	2	4	1081	1	2	24	7	378	1081	0	34	1	6	1	2	1	3	4	5	4	0	0	3	3	7	3	2	3	4	5	1	2	4	3	3	4	4
ECO-JSC-RGN-103693	9	1080	4	5	5	4	7	4	5	4	9	4	8	9	6	4	10	8	9	4	1081	8	5	4	5	3	4	3	4	6	8	4	4	2	4	5	4	6	3	8	6	4	8	2	8	8	4	5	3	1083	8	8	3	3	1080	27	5	1081	6	4	4	5	3	1084	4	5	27	10	381	1084	3	37	4	9	4	3	4	2	7	8	7	3	3	0	6	10	2	5	6	7	8	4	1	7	6	6	3	7
ECO-JSC-RGN-103793	9	1080	4	9	7	4	7	4	5	4	9	4	12	13	10	4	10	8	9	4	1081	8	5	4	5	7	4	7	4	6	8	4	4	6	4	7	4	6	3	8	6	4	8	6	8	8	4	7	7	1083	8	8	7	3	1080	27	5	1081	6	4	4	5	7	1084	4	5	27	10	381	1084	3	37	4	9	4	5	4	6	7	8	7	3	3	6	0	10	6	5	6	7	8	4	5	7	6	6	7	7
ECO-JSC-RGN-104540	13	1084	8	13	11	8	11	8	9	8	13	8	16	17	14	8	14	12	13	8	1085	12	9	8	9	11	8	11	8	10	12	8	8	10	8	11	8	10	7	12	10	8	12	10	12	12	8	11	11	1087	12	12	11	7	1084	31	9	1085	10	8	8	9	11	1088	8	9	31	14	385	1088	7	41	8	1	8	9	8	10	11	12	11	7	7	10	10	0	10	9	10	11	12	8	9	11	10	10	11	11
ECO-JSC-RGN-104224	9	1080	4	5	5	4	7	4	5	4	9	4	8	9	6	4	10	8	9	4	1081	8	5	4	5	3	4	3	4	6	8	4	4	2	4	5	4	6	3	8	6	4	8	2	8	8	4	5	3	1083	8	8	3	3	1080	27	5	1081	6	4	4	5	3	1084	4	5	27	10	381	1084	3	37	4	9	4	3	4	0	7	8	7	3	3	2	6	10	0	5	6	7	8	4	1	7	6	6	3	7
ECO-JSC-RGN-103688	8	1079	3	8	6	3	6	3	4	3	8	3	11	12	9	3	9	7	8	1	1080	7	4	3	4	6	3	6	1	5	7	3	3	5	3	6	3	5	2	7	3	1	7	5	7	7	3	6	6	1082	7	7	6	2	1079	26	4	1080	5	3	3	0	6	1083	3	4	26	9	380	1083	2	36	3	8	3	4	3	5	6	7	6	2	2	5	5	9	5	0	5	6	7	3	4	6	5	3	6	6
ECO-JSC-RGN-103781	9	1080	4	9	7	4	7	4	5	4	9	4	12	13	10	4	10	8	9	4	1081	8	5	4	5	7	4	7	4	6	8	4	4	6	4	7	4	6	3	8	6	4	8	6	8	8	4	7	7	1083	8	8	7	3	1080	27	5	1081	6	4	4	5	7	1084	4	5	27	8	381	1084	3	37	4	9	4	5	4	6	7	8	7	3	3	6	6	10	6	5	0	7	8	4	5	7	6	6	7	1
ECO-JSC-RGN-103709	10	1081	5	10	8	5	8	5	6	5	10	5	13	14	11	5	11	9	10	5	1082	9	6	5	6	8	5	8	5	7	9	5	5	7	5	8	5	7	4	9	7	5	9	7	9	9	5	8	8	1084	9	9	8	4	1081	28	6	1082	7	5	5	6	8	1085	5	6	28	11	382	1085	4	38	5	10	5	6	5	7	8	9	8	4	4	7	7	11	7	6	7	0	9	5	6	8	7	7	8	8
ECO-JSC-RGN-104553	11	1082	6	11	9	6	9	6	7	6	11	6	14	15	12	6	12	10	1	6	1083	0	7	6	7	9	6	9	6	8	0	6	6	8	6	9	6	8	5	10	8	6	0	8	10	10	6	9	9	1085	0	0	9	5	1082	29	7	1083	8	6	6	7	9	1086	6	7	29	12	383	1086	5	39	6	11	6	7	6	8	1	10	9	5	5	8	8	12	8	7	8	9	0	6	7	9	8	8	9	9
ECO-JSC-RGN-103779	7	1078	2	7	5	2	5	2	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	0	3	5	4	4	5	5
ECO-JSC-RGN-103889	8	1079	3	4	4	3	6	3	4	3	8	3	7	8	5	3	9	7	8	3	1080	7	4	3	4	2	3	2	3	5	7	3	3	1	3	4	3	5	2	7	5	3	7	1	7	7	3	4	2	1082	7	7	2	2	1079	26	4	1080	5	3	3	4	2	1083	3	4	26	9	380	1083	2	36	3	8	3	2	3	1	6	7	6	2	2	1	5	9	1	4	5	6	7	3	0	6	5	5	2	6
ECO-JSC-RGN-105452	10	1081	5	10	8	5	8	5	6	5	10	5	13	14	11	5	11	9	10	5	1082	9	6	5	6	8	5	8	5	7	9	5	5	7	5	8	5	7	4	9	7	5	9	7	9	9	5	8	8	1084	9	9	8	4	1081	28	6	1082	7	5	5	6	8	1085	5	6	28	11	382	1085	4	38	5	10	5	6	5	7	8	9	8	4	4	7	7	11	7	6	7	8	9	5	6	0	7	7	8	8
ECO-JSC-RGN-103841	9	1080	4	9	7	4	7	4	5	4	9	4	12	13	10	4	10	8	9	4	1081	8	5	4	5	7	4	7	4	6	8	4	4	6	4	7	4	6	3	8	6	4	8	6	8	8	4	7	7	1083	8	8	7	3	1080	27	5	1081	6	4	4	5	7	1084	4	5	27	10	381	1084	3	37	4	9	4	5	4	6	7	8	7	3	3	6	6	10	6	5	6	7	8	4	5	7	0	6	7	7
ECO-JSC-RGN-103796	9	1080	4	9	7	4	7	4	5	4	9	4	12	13	10	4	10	8	9	2	1081	8	5	4	5	7	4	7	2	6	8	4	4	6	4	7	4	6	3	8	0	2	8	6	8	8	4	7	7	1083	8	8	7	3	1080	27	5	1081	6	4	4	3	7	1084	4	5	27	10	381	1084	3	37	4	9	4	5	4	6	7	8	7	3	3	6	6	10	6	3	6	7	8	4	5	7	6	0	7	7
ECO-JSC-RGN-104549	10	1081	5	6	6	5	8	5	6	5	10	5	9	10	7	5	11	9	10	5	1082	9	6	5	6	4	5	4	5	7	9	5	5	3	5	6	5	7	4	9	7	5	9	3	9	9	5	6	4	1084	9	9	4	4	1081	28	6	1082	7	5	5	6	0	1085	5	6	28	11	382	1085	4	38	5	10	5	4	5	3	8	9	8	4	4	3	7	11	3	6	7	8	9	5	2	8	7	7	0	8
ECO-JSC-RGN-103791	10	1081	5	10	8	5	8	5	6	5	10	5	13	14	11	5	11	9	10	5	1082	9	6	5	6	8	5	8	5	7	9	5	5	7	5	8	5	7	4	9	7	5	9	7	9	9	5	8	8	1084	9	9	8	4	1081	28	6	1082	7	5	5	6	8	1085	5	6	28	9	382	1085	4	38	5	10	5	6	5	7	8	9	8	4	4	7	7	11	7	6	1	8	9	5	6	8	7	7	8	0
